id	order_timestamp	customer_id	order_status	order_amount	order_currency	products
1	2022-12-12 08:40:40	10	NEW	73.95	EUR	[{'product_id': 12, 'amount': 1}, {'product_id': 20, 'amount': 1}, {'product_id': 14, 'amount': 2}, {'product_id': 22, 'amount': 3}]
2	2022-12-10 05:54:16	6	NEW	53.37	EUR	[{'product_id': 23, 'amount': 2}, {'product_id': 19, 'amount': 3}, {'product_id': 29, 'amount': 3}, {'product_id': 27, 'amount': 2}]
3	2022-12-05 15:33:03	4	DELIVERED	96.45	EUR	[{'product_id': 22, 'amount': 3}, {'product_id': 23, 'amount': 3}]
4	2022-12-05 16:51:54	4	NEW	33.33	EUR	[{'product_id': 24, 'amount': 3}]
5	2022-12-07 15:10:18	8	DELIVERED	85.47	EUR	[{'product_id': 23, 'amount': 1}, {'product_id': 20, 'amount': 3}]
6	2022-12-04 09:51:26	4	NEW	80.7	EUR	[{'product_id': 11, 'amount': 1}, {'product_id': 16, 'amount': 2}, {'product_id': 25, 'amount': 3}, {'product_id': 13, 'amount': 3}]
7	2022-12-12 15:40:22	11	NEW	72.0	EUR	[{'product_id': 22, 'amount': 2}, {'product_id': 23, 'amount': 2}, {'product_id': 10, 'amount': 2}]
8	2022-12-08 14:48:21	11	NEW	75.76	EUR	[{'product_id': 27, 'amount': 1}, {'product_id': 21, 'amount': 1}]
9	2022-12-08 01:06:50	7	DELIVERED	83.58	EUR	[{'product_id': 29, 'amount': 2}, {'product_id': 15, 'amount': 2}]
10	2022-12-10 03:20:16	3	DELIVERED	22.39	EUR	[{'product_id': 16, 'amount': 1}]
11	2022-12-09 18:48:37	2	DELIVERED	25.66	EUR	[{'product_id': 22, 'amount': 3}]
12	2022-12-09 11:20:06	5	NEW	5.53	EUR	[{'product_id': 11, 'amount': 3}]
13	2022-12-10 19:22:24	2	NEW	47.74	EUR	[{'product_id': 19, 'amount': 3}, {'product_id': 11, 'amount': 2}, {'product_id': 29, 'amount': 1}]
14	2022-12-11 07:49:48	2	NEW	21.13	EUR	[{'product_id': 18, 'amount': 2}, {'product_id': 16, 'amount': 3}, {'product_id': 26, 'amount': 2}]
15	2022-12-06 13:23:47	5	DELIVERED	31.76	EUR	[{'product_id': 23, 'amount': 2}]
16	2022-12-10 18:24:16	6	DELIVERED	35.52	EUR	[{'product_id': 22, 'amount': 3}, {'product_id': 18, 'amount': 3}, {'product_id': 19, 'amount': 3}, {'product_id': 15, 'amount': 1}]
17	2022-12-04 11:39:56	7	DELIVERED	52.24	EUR	[{'product_id': 27, 'amount': 2}]
18	2022-12-12 01:40:26	10	NEW	87.92	EUR	[{'product_id': 19, 'amount': 1}, {'product_id': 12, 'amount': 3}, {'product_id': 21, 'amount': 1}]
19	2022-12-12 11:45:54	4	DELIVERED	48.15	EUR	[{'product_id': 24, 'amount': 3}]
20	2022-12-10 04:29:18	11	DELIVERED	81.23	EUR	[{'product_id': 26, 'amount': 2}]
21	2022-12-12 16:46:02	8	DELIVERED	83.58	EUR	[{'product_id': 24, 'amount': 3}, {'product_id': 22, 'amount': 1}, {'product_id': 19, 'amount': 1}]
22	2022-12-05 22:03:06	6	NEW	32.12	EUR	[{'product_id': 17, 'amount': 2}, {'product_id': 28, 'amount': 1}, {'product_id': 14, 'amount': 2}, {'product_id': 23, 'amount': 2}]
23	2022-12-05 14:51:27	5	DELIVERED	46.04	EUR	[{'product_id': 15, 'amount': 1}, {'product_id': 27, 'amount': 1}]
24	2022-12-07 18:12:24	10	NEW	72.47	EUR	[{'product_id': 24, 'amount': 2}, {'product_id': 18, 'amount': 2}]
25	2022-12-06 15:31:42	7	DELIVERED	61.73	EUR	[{'product_id': 11, 'amount': 1}, {'product_id': 25, 'amount': 2}, {'product_id': 15, 'amount': 2}, {'product_id': 19, 'amount': 3}]
26	2022-12-04 02:20:23	5	DELIVERED	97.71	EUR	[{'product_id': 24, 'amount': 1}, {'product_id': 29, 'amount': 3}, {'product_id': 10, 'amount': 2}, {'product_id': 14, 'amount': 3}]
27	2022-12-04 10:22:14	11	NEW	58.58	EUR	[{'product_id': 12, 'amount': 3}, {'product_id': 18, 'amount': 1}, {'product_id': 27, 'amount': 1}]
28	2022-12-05 22:43:14	4	NEW	35.23	EUR	[{'product_id': 11, 'amount': 3}, {'product_id': 14, 'amount': 3}]
29	2022-12-12 02:44:59	3	DELIVERED	51.96	EUR	[{'product_id': 15, 'amount': 2}, {'product_id': 17, 'amount': 1}]
